kind,class,ref_addr,size,instr_structural,instr_offset_only,instr_const_only,name
FUNC,struct,0x200708b8,172,0,3,0,"std::vector<Sound*, deluge::memory::fast_allocator<Sound*> >::size_type std::erase<Sound*, deluge::memory::fast_allocator<Sound*>, Sound*>(std::vector<Sound*, deluge::memory::fast_allocator<Sound*> >&, Sound* const&) [clone .constprop.0] [clone .isra.0]"
FUNC,struct,0x20071818,252,0,3,0,PadLEDs::reassessGreyout(bool)
FUNC,struct,0x20072428,70,0,3,0,triggerClockInputHandler
FUNC,struct,0x20073718,104,0,3,0,usb_hstd_mgr_resume.isra.0
FUNC,struct,0x2007478c,116,0,3,0,Browser::mainButtonAction(bool)
FUNC,struct,0x20074800,172,0,3,0,SlotBrowser::horizontalEncoderAction(long)
FUNC,struct+const,0x2007588c,44,0,1,2,deluge::gui::menu_item::audio_clip::AudioSourceSelector::selectButtonPress()
FUNC,struct+const,0x200758e4,40,0,1,2,deluge::gui::menu_item::reset_settings::Reset::selectButtonPress()
FUNC,struct,0x200773c4,60,0,3,0,AutomationView::resetShortcutBlinking()
FUNC,struct+const,0x20079ef0,76,0,1,2,void deluge::hid::encoders::(anonymous namespace)::encoderIrqHandler<5u>(unsigned long)
FUNC,struct+const,0x20079f3c,76,0,1,2,void deluge::hid::encoders::(anonymous namespace)::encoderIrqHandler<4u>(unsigned long)
FUNC,struct+const,0x2007afc0,132,0,1,2,deluge::gui::context_menu::clip_settings::NewClipType::setupAndCheckAvailability()
FUNC,struct+const,0x2007f888,420,0,1,2,"PadLEDs::setTickSquares(unsigned char const*, unsigned char const*)"
FUNC,struct+const,0x2008201c,148,0,2,1,PadLEDs::setDimmerInterval(long)
FUNC,struct,0x20087f9c,252,0,3,0,usb_hstd_ctrl_end
FUNC,struct,0x2008948c,160,0,3,0,usb_hstd_transfer_start
FUNC,struct,0x2008af44,356,0,3,0,usb_pstd_read_data.constprop.0
FUNC,struct+const,0x2008b290,180,0,1,2,usb_hhub_selective_detach
FUNC,struct+const,0x2008e01c,146,0,2,1,"AutomationEditorLayoutModControllable::setAutomationKnobIndicatorLevels(ModelStackWithAutoParam*, long, long) [clone .constprop.0]"
FUNC,struct,0x2008e2d0,50,0,3,0,deluge::hid::display::OLED::timerRoutine()
FUNC,struct+const,0x20095078,56,0,2,1,GeneralMemoryAllocator::checkStack(char const*) [clone .constprop.0]
FUNC,struct+const,0x200a071c,56,0,2,1,GeneralMemoryAllocator::checkStack(char const*)
FUNC,struct+const,0x200a9f2c,40,0,1,2,GeneralMemoryAllocator::get() [clone .part.0] [clone .lto_priv.39]
FUNC,struct+const,0x200b0244,94,0,1,2,MIDIInstrument::allNotesOff()
FUNC,struct,0x200b0a54,1096,0,3,0,Browser::deleteFolderAndDuplicateItems(Availability)
FUNC,struct+const,0x200b7ef4,144,0,1,2,deluge::gui::menu_item::PatchCableStrength::selectEncoderAction(long)
FUNC,struct+const,0x200bb5c4,292,0,2,1,"GlobalEffectable::processFXForGlobalEffectable(std::span<StereoSample, 4294967295u>, long*, ParamManager*, Delay::State const&, bool, long)"
FUNC,struct+const,0x200de2a8,48,0,2,1,instantTan(long)
FUNC,struct+const,0x200e1244,346,0,2,1,"MIDIInstrument::noteOffPostArp(long, long, long, long)"
FUNC,struct+const,0x200e1b18,188,0,1,2,"NoteRow::setLength(ModelStackWithNoteRow*, long, Action*, long, bool)"
FUNC,struct+const,0x200e3e64,90,0,2,1,"SessionView::clipCreationButtonPressed(unsigned char, bool, bool)"
FUNC,struct+const,0x200e674c,386,0,1,2,"ModControllableAudio::processReverbSendAndVolume(std::span<StereoSample, 4294967295u>, long*, long, long, long, long, bool)"
FUNC,struct,0x200ecfbc,64,0,3,0,ActionLogger::deleteLog(long) [clone .constprop.0]
FUNC,struct+const,0x2010f724,190,0,2,1,usb_hstd_suspend
FUNC,struct,0x20112200,34,0,3,0,MidiEngine::check_incoming_usb()
FUNC,struct,0x20113530,50,0,3,0,disk_read.isra.0
FUNC,const,0x20117d14,52,0,0,3,WaveTableReader::readNewCluster()
FUNC,struct+const,0x20117fc4,68,0,1,2,"smSysex::startReply(JsonSerializer&, JsonDeserializer&) [clone .constprop.0]"
FUNC,struct,0x20118e84,114,0,3,0,"SampleRecorder::writeCluster(long, unsigned int)"
FUNC,struct+const,0x2011ab80,108,0,1,2,AudioFileManager::init() [clone .constprop.0]
FUNC,struct+const,0x201203ac,556,0,2,1,LoadInstrumentPresetUI::revertToInitialPreset()
FUNC,struct,0x20122650,150,0,3,0,LoadSongUI::exitAction()
FUNC,struct+const,0x201233a8,106,0,2,1,"LoadSongUI::padAction(long, long, long)"
FUNC,struct+const,0x201312e4,568,0,2,1,"SampleBrowser::buttonAction(unsigned char, bool, bool)"
FUNC,struct+const,0x2013abd0,768,0,2,1,"WaveformBasicNavigator::zoom(long, bool, MarkerColumn*, MarkerType) [clone .constprop.0]"
FUNC,struct,0x2013d4fc,156,0,3,0,ActionLogger::undoJustOneConsequencePerNoteRow(ModelStack*) [clone .constprop.0]
FUNC,struct+const,0x2013e15c,52,0,1,2,deluge::hid::encoders::interpretEncodersTask()
FUNC,struct,0x201408c0,256,0,3,0,"LoadPatternUI::buttonAction(unsigned char, bool, bool)"
FUNC,const,0x20162314,252,0,0,3,"TimeStretcher::updateClustersForPercLookahead(Sample*, unsigned long, long)"
FUNC,const,0x20169888,328,0,0,3,"FmOpKernel::compute(long*, int, long const*, long, long, long, long, long, bool, bool)"
FUNC,const,0x201699d0,308,0,0,3,"FmOpKernel::compute_pure(long*, int, long, long, long, long, long, bool, bool)"
FUNC,const,0x20169fa0,112,0,0,3,PitchEnv::set(EnvParams const&)
FUNC,const,0x2016a010,208,0,0,3,"PitchEnv::getsample(EnvParams const&, int)"
FUNC,const,0x2016a0e0,120,0,0,3,"PitchEnv::keydown(EnvParams const&, bool)"
FUNC,const,0x2016a66c,504,0,0,3,"deluge::dsp::filter::HpLadderFilter::doFilter(long*, long*, long)"
FUNC,const,0x2016ab58,924,0,0,3,"deluge::dsp::filter::HpLadderFilter::doFilterStereo(long*, long*)"
FUNC,const,0x2016e12c,300,0,0,3,"EngineMkI::compute_fb(long*, int, long, long, long, long, long, long*, int, bool)"
FUNC,struct,0x2006bdd4,76,0,2,0,"MatrixDriver::padAction(long, long, long) [clone .constprop.0]"
FUNC,struct,0x2006be20,36,0,2,0,AudioRecorder::isCurrentlyResampling() [clone .constprop.0]
FUNC,struct,0x2006c060,104,0,2,0,"deluge::hid::display::Starfield::respawn(deluge::hid::display::Starfield::Star&, float) [clone .constprop.0]"
FUNC,struct,0x2006cbdc,156,0,2,0,AudioEngine::getNumVoices()
FUNC,struct+const,0x2006cc78,30,0,1,1,LoadSongUI::isLoadingSong() [clone .constprop.0]
FUNC,struct+const,0x2006d5c0,72,0,1,1,UITimerManager::workOutNextEventTime() [clone .constprop.0]
FUNC,struct,0x2006d840,84,0,2,0,"deluge::hid::display::OLED::setupBlink(long, long, long, long, bool)"
FUNC,struct,0x2006ddcc,84,0,2,0,sendPriorityCVIfPending.part.0
FUNC,struct+const,0x2006f760,16,0,1,1,usb_peri_detach
FUNC,struct+const,0x20070148,84,0,1,1,"WaveformRenderer::renderOneColForCollapseAnimationInterpolation(long, long, long, long, long, RGB (*) [18], std::optional<RGB>) [clone .constprop.0]"
FUNC,struct,0x20070278,48,0,2,0,InstrumentClipView::flashDefaultRootNote() [clone .isra.0]
FUNC,struct+const,0x20070eb0,54,0,1,1,deluge::hid::display::OLED::isLayerCurrentlyOnTop(NumericLayer*)
FUNC,struct,0x2007194c,106,0,2,0,"View::notifyParamAutomationOccurred(ParamManager*, bool) [clone .constprop.0]"
FUNC,struct+const,0x20075734,102,0,1,1,changeRootUI(UI*)
FUNC,struct+const,0x2007579c,148,0,1,1,openUI(UI*)
FUNC,struct+const,0x20075830,52,0,1,1,deluge::gui::menu_item::audio_clip::SampleMarkerEditor::beginSession(MenuItem*)
FUNC,struct,0x200776c0,88,0,2,0,usb_cstd_chg_curpipe.part.0
FUNC,struct,0x20077d0c,280,0,2,0,SessionView::setupScroll(unsigned long)
FUNC,struct+const,0x20079f88,68,0,1,1,void deluge::hid::encoders::(anonymous namespace)::encoderIrqHandler<3u>(unsigned long)
FUNC,struct,0x2007a0f4,58,0,2,0,PadLEDs::recordTransitionBegin(unsigned long)
FUNC,struct+const,0x2007a45c,64,0,1,1,setupAndEnableInterrupt
FUNC,struct,0x2007a73c,28,0,2,0,deluge::hid::display::OLED::hasPopupOfType(PopupType)
FUNC,struct,0x2007adec,174,0,2,0,usb_pstd_forced_termination
FUNC,struct,0x2007bf54,108,0,2,0,usb_cstd_is_set_frdy_rohan
FUNC,struct,0x2007bfc0,114,0,2,0,usb_read_data_fast_rohan
FUNC,struct,0x2007c39c,82,0,2,0,PadLEDs::sendOutMainPadColours()
FUNC,struct,0x2007c9e0,62,0,2,0,PadLEDs::sendOutSidebarColours()
FUNC,struct+const,0x2008136c,224,0,1,1,"deluge::gui::ui::keyboard::controls::VelocityColumn::handlePad(ModelStackWithTimelineCounter*, deluge::gui::ui::keyboard::PressedPad, deluge::gui::ui::keyboard::KeyboardLayout*)"
FUNC,struct+const,0x200837ec,220,0,1,1,"deluge::gui::ui::keyboard::controls::ModColumn::handlePad(ModelStackWithTimelineCounter*, deluge::gui::ui::keyboard::PressedPad, deluge::gui::ui::keyboard::KeyboardLayout*)"
FUNC,struct,0x200869b4,166,0,2,0,SessionView::selectLayout(signed char)
FUNC,struct+const,0x20086b10,358,0,1,1,deluge::gui::context_menu::AudioInputSelector::selectEncoderAction(signed char)
FUNC,struct,0x2008a5f8,308,0,2,0,usb_hstd_forced_termination
FUNC,struct+const,0x2008aabc,256,0,1,1,"MIDICableUSB::sendSysex(unsigned char const*, long)"
FUNC,struct,0x2008b0a8,378,0,2,0,usb_pstd_write_data.constprop.0
FUNC,struct,0x2008d098,596,0,2,0,PlaybackHandler::actionTimerTickPart2() [clone .constprop.0]
FUNC,const,0x20094d40,410,0,0,2,"deluge::hid::display::copyBackgroundAroundForeground(unsigned char (*) [128], unsigned char (*) [128], long, long, long, long)"
FUNC,struct,0x200a0b78,66,0,2,0,StemExport::exportMixdownStem(StemExportType)::{lambda()#1}::_FUN()
FUNC,struct,0x200a0bbc,66,0,2,0,StemExport::exportInstrumentStems(StemExportType)::{lambda()#1}::_FUN()
FUNC,struct,0x200a0c00,66,0,2,0,StemExport::exportClipStems(StemExportType)::{lambda()#1}::_FUN()
FUNC,struct,0x200a0c44,66,0,2,0,StemExport::exportDrumStems(StemExportType)::{lambda()#1}::_FUN()
FUNC,struct,0x200a8c10,24,0,2,0,"AudioEngine::feedReverbBackdoorForGrain(int, long)"
FUNC,struct,0x200aa900,78,0,2,0,"Sound::deleteMultiRange(long, long)"
FUNC,struct+const,0x200ab230,226,0,1,1,"Song::setClipLength(Clip*, unsigned long, Action*, bool)"
FUNC,const,0x200b48d4,28,0,0,2,__tcf_0.lto_priv.29
FUNC,struct,0x200bcb78,304,0,2,0,AudioEngine::forceReleaseOneVoice(unsigned int) [clone .isra.0]
FUNC,struct,0x200bcca8,244,0,2,0,AudioEngine::terminateOneVoice(unsigned int) [clone .isra.0]
FUNC,struct,0x200bd018,64,0,2,0,AudioEngine::stopAnyPreviewing()
FUNC,struct+const,0x200bf488,312,0,1,1,deluge::gui::menu_item::Decimal::drawPixelsForOled()
FUNC,struct,0x200c0880,128,0,2,0,StemExport::displayStemExportProgress(StemExportType) [clone .constprop.0]
FUNC,struct+const,0x200d5b38,88,0,1,1,"MelodicInstrument::getParamToControlFromInputMIDIChannel(long, ModelStackWithThreeMainThings*)"
FUNC,struct,0x200d9d5c,222,0,2,0,"InstrumentClipView::setupForEnteringScaleMode(long, long) [clone .isra.0]"
FUNC,struct,0x200e5454,112,0,2,0,"View::displayOutputName(Output*, bool, Clip*) [clone .constprop.0]"
FUNC,struct,0x200ecf50,36,0,2,0,AudioEngine::routineWithClusterLoading(bool) [clone .constprop.0]
FUNC,struct+const,0x200ed00c,460,0,1,1,AudioClipView::selectEncoderAction(signed char)
FUNC,struct,0x200ee3c8,50,0,2,0,ActionLogger::deleteLastAction() [clone .constprop.0]
FUNC,struct+const,0x200f6ee0,84,0,1,1,"Song::setTempoFromParams(long, signed char, bool) [clone .constprop.0]"
FUNC,struct+const,0x200f8a84,220,0,1,1,AutomationView::initializeView()
FUNC,struct,0x200f900c,84,0,2,0,AudioEngine::killAllVoices(bool) [clone .isra.0]
FUNC,struct+const,0x20103a90,568,0,1,1,"Arrangement::resetPlayPos(long, bool, long)"
FUNC,struct,0x2010599c,106,0,2,0,StemExport::abortStemExportProcess(deluge::l10n::String) [clone .constprop.0]
FUNC,struct+const,0x2010e474,210,0,1,1,usb_hstd_chk_attach.isra.0
FUNC,struct+const,0x2011f684,456,0,1,1,SessionView::selectEncoderAction(signed char)
FUNC,struct+const,0x20122300,96,0,1,1,"LoadMidiDeviceDefinitionUI::buttonAction(unsigned char, bool, bool)"
FUNC,struct+const,0x20122744,96,0,1,1,"SaveMidiDeviceDefinitionUI::buttonAction(unsigned char, bool, bool)"
FUNC,struct,0x201227a4,100,0,2,0,"SavePatternUI::buttonAction(unsigned char, bool, bool)"
FUNC,struct+const,0x2012cb54,268,0,1,1,"AudioClip::beginLinearRecording(ModelStackWithTimelineCounter*, long)"
FUNC,struct+const,0x2012ceac,64,0,1,1,"AudioRecorder::beginOutputRecording(AudioRecordingFolder, AudioInputChannel, bool, bool) [clone .constprop.0] [clone .isra.0]"
FUNC,struct,0x2012d09c,524,0,2,0,"InstrumentClipView::auditionPadAction(long, long, bool)"
FUNC,struct,0x2012d5b4,624,0,2,0,"AutomationView::auditionPadAction(InstrumentClip*, Output*, OutputType, long, long, bool)"
FUNC,struct,0x20137a84,172,0,2,0,LoadInstrumentPresetUI::enterKeyPress()
FUNC,struct+const,0x2013f728,250,0,1,1,AudioClipView::editClipLengthWithoutTimestretching(long)
FUNC,struct+const,0x20141dcc,132,0,1,1,deluge::gui::menu_item::osc::AudioRecorder::beginSession(MenuItem*)
FUNC,struct+const,0x2014478c,1024,0,1,1,"SampleMarkerEditor::padAction(long, long, long)"
FUNC,struct,0x20144c1c,112,0,2,0,View::endMIDILearn() [clone .constprop.0]
FUNC,struct,0x2015d144,118,0,2,0,deluge::gui::menu_item::stutter::Rate::selectEncoderAction(long)
FUNC,const,0x20160c1c,100,0,0,2,TimeStretcher::unassignAllReasonsForPercLookahead()
FUNC,const,0x201626b0,716,0,0,2,"deluge::dsp::filter::LpLadderFilter::setConfig(long, long, FilterMode, long, long)"
FUNC,const,0x20169b04,368,0,0,2,"FmOpKernel::compute_fb(long*, int, long, long, long, long, long, long*, int, bool)"
FUNC,const,0x2016aa18,320,0,0,2,"deluge::dsp::filter::FilterSet::renderLong(long*, long*, long, long)"
FUNC,const,0x2016b098,292,0,0,2,"deluge::dsp::filter::FilterSet::renderLongStereo(long*, long*)"
FUNC,const,0x2016b1f4,704,0,0,2,"FmCore::render(long*, int, FmOpParams*, int, long*, long)"
FUNC,const,0x2016e258,520,0,0,2,"EngineMkI::compute_fb2(long*, int, FmOpParams*, long, long, long, long*, int)"
FUNC,const,0x2016e460,736,0,0,2,"EngineMkI::compute_fb3(long*, int, FmOpParams*, long, long, long, long*, int)"
FUNC,const,0x2016f70c,136,0,0,2,DxEngine::newPatch()
FUNC,const,0x2016f990,908,0,0,2,"DxVoice::compute(long*, int, int, DxPatch const*, DxVoiceCtrl const*)"
FUNC,struct,0x2005d320,20,0,1,0,std::bad_variant_access::~bad_variant_access()
FUNC,struct,0x2005e1d8,16,0,1,0,deluge::gui::ui::keyboard::controls::ChordColumn::setActiveChord(deluge::gui::ui::keyboard::controls::ChordModeChord)
FUNC,struct,0x20060140,20,0,1,0,std::bad_expected_access<void>::~bad_expected_access()
FUNC,struct,0x20060154,20,0,1,0,std::bad_expected_access<Error>::~bad_expected_access()
FUNC,struct,0x2006c30c,32,0,1,0,"MatrixDriver::isPadPressed(long, long) [clone .constprop.0]"
FUNC,struct,0x2006ca7c,26,0,1,0,ActionLogger::closeAction(ActionType) [clone .constprop.0]
FUNC,struct,0x2006ca98,104,0,1,0,PlaybackHandler::setLedStates() [clone .constprop.0]
FUNC,struct,0x2006d498,42,0,1,0,MidiEngine::anythingInOutputBuffer() [clone .constprop.0]
FUNC,struct,0x2006e440,56,0,1,0,"CVEngine::sendVoltageOut(unsigned char, unsigned short) [clone .constprop.0]"
FUNC,struct,0x20070964,78,0,1,0,deluge::gui::menu_item::stutter::Rate::getClosestQuantizedOptionIndex(long) const [clone .isra.0]
FUNC,struct,0x200709b4,26,0,1,0,deluge::gui::menu_item::stutter::Rate::getQuantizedOptionLabel()
FUNC,struct,0x20071800,24,0,1,0,PadLEDs::setTimerForSoon()
FUNC,struct,0x20072284,124,0,1,0,SideChain::SideChain() [clone .isra.0]
FUNC,struct,0x200728dc,18,0,1,0,ClipView::focusRegained()
FUNC,struct,0x2007398c,18,0,1,0,deluge::gui::menu_item::audio_clip::SampleMarkerEditor::beginSession(MenuItem*) [clone .part.0]
FUNC,struct,0x20073a10,154,0,1,0,deluge::gui::menu_item::Decimal::horizontalEncoderAction(long)
FUNC,struct,0x2007450c,20,0,1,0,deluge::hid::display::OLED::hasPopup()
FUNC,struct,0x200756b4,126,0,1,0,"changeUIAtLevel(UI*, long)"
FUNC,struct,0x20075994,48,0,1,0,AutomationView::initPadSelection()
FUNC,struct,0x20075b10,30,0,1,0,SessionView::beginEditingSectionRepeatsNum()
FUNC,struct,0x20076c4c,30,0,1,0,usb_hstd_return_enu_mgr
FUNC,struct,0x20076c84,80,0,1,0,usb_hhub_class_request_complete
FUNC,struct,0x20076d10,78,0,1,0,usb_hhub_specified_path
FUNC,struct,0x20077104,94,0,1,0,View::focusRegained() [clone .constprop.0]
FUNC,struct,0x200773a4,32,0,1,0,InstrumentClipView::resetSelectedNoteRowBlinking() [clone .constprop.0]
FUNC,struct,0x2007a130,42,0,1,0,Buttons::isButtonPressed(unsigned char)
FUNC,struct,0x2007a1f4,130,0,1,0,"AudioClipView::verticalEncoderAction(long, bool)"
FUNC,struct,0x2007cd14,64,0,1,0,"deluge::gui::context_menu::OverwriteFile::padAction(long, long, long)"
FUNC,struct,0x2007db38,368,0,1,0,ArpeggiatorSettings::ArpeggiatorSettings() [clone .isra.0]
FUNC,struct,0x2007e3a0,456,0,1,0,deluge::gui::menu_item::DxParam::readValueAgain()
FUNC,struct,0x2007ec30,62,0,1,0,"indicator_leds::setKnobIndicatorLevel(unsigned char, unsigned char, bool)"
FUNC,struct,0x20086f44,262,0,1,0,"NonAudioInstrument::renderOutput(ModelStack*, std::span<StereoSample, 4294967295u>, long*, long, long, bool, bool)"
FUNC,struct,0x20088104,380,0,1,0,usb_hstd_interrupt_handler
FUNC,struct,0x2008a72c,208,0,1,0,usb_send_start_rohan
FUNC,struct,0x2008b224,106,0,1,0,usb_pstd_ctrl_read.isra.0
FUNC,struct,0x2008b8ec,120,0,1,0,usb_hstd_buf2fifo
FUNC,struct,0x2008e528,86,0,1,0,deluge::gui::menu_item::Toggle::selectEncoderAction(long)
FUNC,struct,0x2008f830,26,0,1,0,deluge::l10n::getView(deluge::l10n::String)
FUNC,struct,0x20090168,32,0,1,0,deluge::l10n::get(deluge::l10n::String)
FUNC,const,0x20090b64,108,0,0,1,deluge::gui::menu_item::sample::LoopPoint::getColumnLabel(StringBuf&)
FUNC,const,0x2009166c,42,0,0,1,deluge::gui::menu_item::MasterTranspose::getColumnLabel(StringBuf&)
FUNC,struct,0x20093a4c,74,0,1,0,deluge::gui::menu_item::Value<long>::selectEncoderAction(long)
FUNC,struct,0x20095e0c,18,0,1,0,deluge::hid::display::OLED::sendMainImage()
FUNC,struct,0x20097390,44,0,1,0,PlaybackHandler::getNumSwungTicksInSinceLastActionedSwungTick(unsigned long*) [clone .constprop.0]
FUNC,struct,0x20098054,68,0,1,0,PlaybackHandler::expectEvent() [clone .constprop.0]
FUNC,struct,0x200a7274,178,0,1,0,"InstrumentClipView::commandLearnAuditionPad(InstrumentClip*, Output*, OutputType, long, long)"
FUNC,struct,0x200b1930,38,0,1,0,deluge::hid::display::SevenSegment::setTopLayer(NumericLayer*) [clone .part.0]
FUNC,struct,0x200b1d7c,50,0,1,0,deluge::hid::display::SevenSegment::cancelPopup()
FUNC,struct,0x200b2610,28,0,1,0,std::bad_variant_access::~bad_variant_access()
FUNC,struct,0x200b262c,22,0,1,0,__tcf_1.lto_priv.1
FUNC,struct,0x200b3570,14,0,1,0,__tcf_1.lto_priv.2
FUNC,struct,0x200b359c,14,0,1,0,__tcf_2
FUNC,struct,0x200b35c8,14,0,1,0,__tcf_1.lto_priv.0
FUNC,struct,0x200b35d8,22,0,1,0,__tcf_3
FUNC,struct,0x200bd660,64,0,1,0,deluge::gui::menu_item::runtime_feature::EmulatedDisplay::writeCurrentValue()
FUNC,struct,0x200bf44c,60,0,1,0,MenuItem::renderOLED()
FUNC,struct,0x200c04e4,168,0,1,0,deluge::hid::display::OLED::drawPermanentPopupLookingText(char const*)
FUNC,struct,0x200c38bc,110,0,1,0,SessionView::displayPotentialTempoChange(UI*) [clone .part.0]
FUNC,const,0x200c5980,258,0,0,1,deluge::gui::menu_item::FileSelector::getColumnLabel(StringBuf&)
FUNC,struct,0x200cd73c,52,0,1,0,"RenameUI::padAction(long, long, long)"
FUNC,struct,0x200e4094,162,0,1,0,SessionView::focusRegained()
FUNC,struct,0x200e44a4,48,0,1,0,SoundEditor::opened()
FUNC,struct,0x200e54c4,52,0,1,0,InstrumentClipMinder::renderOLED(deluge::hid::display::oled_canvas::Canvas&)
FUNC,struct,0x200e572c,56,0,1,0,InstrumentClipMinder::redrawNumericDisplay()
FUNC,struct,0x200e5910,76,0,1,0,AudioClipView::focusRegained()
FUNC,struct,0x200ee3fc,30,0,1,0,ActionLogger::deleteLastActionIfEmpty() [clone .constprop.0]
FUNC,struct,0x200f2a74,622,0,1,0,ArrangerView::putDraggedClipInstanceInNewPosition(Output*)
FUNC,struct,0x200f41a4,164,0,1,0,InstrumentClipView::exitNoteEditor() [clone .constprop.0]
FUNC,struct,0x200f8a20,98,0,1,0,"AutomationView::potentiallyVerticalScrollToSelectedDrum(InstrumentClip*, Output*) [clone .isra.0]"
FUNC,struct,0x200f8cb4,118,0,1,0,ClipView::shortenClip(long) [clone .isra.0]
FUNC,struct,0x200f8d2c,104,0,1,0,AudioClip::abortRecording()
FUNC,struct,0x2010035c,530,0,1,0,AudioEngine::songSwapAboutToHappen()
FUNC,struct,0x20103ff0,222,0,1,0,PlaybackHandler::endPlayback() [clone .constprop.0]
FUNC,struct,0x20105acc,772,0,1,0,"PlaybackHandler::inputTick(bool, unsigned long) [clone .constprop.0]"
FUNC,struct,0x20106a90,92,0,1,0,SessionView::horizontalEncoderAction(long)
FUNC,struct,0x2010e5d4,60,0,1,0,usb_hstd_chk_clk.isra.0
FUNC,struct,0x2010e610,228,0,1,0,usb_hstd_detach_process
FUNC,struct,0x2011aadc,32,0,1,0,isCardReady()
FUNC,struct,0x2011ab50,46,0,1,0,registerTasks()::{lambda()#5}::_FUN()
FUNC,struct,0x20122360,96,0,1,0,LoadSongUI::enterKeyPress()
FUNC,struct,0x2012d4cc,72,0,1,0,InstrumentClipView::exitNoteRowEditor() [clone .constprop.0]
FUNC,struct,0x2013bf54,128,0,1,0,SampleBrowser::currentFileChanged(long)
FUNC,struct,0x2013d4bc,64,0,1,0,LoadPatternUI::currentFileChanged(long)
FUNC,struct,0x201417f8,72,0,1,0,SoundEditor::focusRegained()
FUNC,struct,0x20144704,136,0,1,0,"LoadInstrumentPresetUI::padAction(long, long, long)"
FUNC,struct,0x20147f14,210,0,1,0,ArrangerView::exitSubModeWithoutAction(UI*)
FUNC,struct,0x2014a078,572,0,1,0,"Session::resetPlayPos(long, bool, long)"
FUNC,struct,0x2014b338,96,0,1,0,"std::_Function_handler<long (PIC::Response), deluge_main::{lambda(auto:1)#1}>::_M_invoke(std::_Any_data const&, PIC::Response&&)"
FUNC,const,0x20154ce8,64,0,0,1,JsonSerializer::JsonSerializer() [clone .isra.0]
FUNC,struct,0x2015cbac,52,0,1,0,InstrumentClipView::focusRegained()
FUNC,struct,0x2015cd04,142,0,1,0,"MIDIInstrument::modEncoderButtonAction(unsigned char, bool, ModelStackWithThreeMainThings*)"
FUNC,const,0x201622b4,96,0,0,1,TimeStretcher::rememberPercCacheCluster(Cluster*)
FUNC,const,0x2016445c,528,0,0,1,"deluge::dsp::filter::SVFilter::doFilter(long*, long*, long)"
FUNC,const,0x2016466c,968,0,0,1,"deluge::dsp::filter::SVFilter::doFilterStereo(long*, long*)"
FUNC,const,0x20165584,276,0,0,1,"deluge::dsp::Interpolator::interpolate(unsigned int, long, unsigned long)"
FUNC,const,0x20169c74,68,0,0,1,Freqlut::lookup(long)
FUNC,const,0x20169cb8,696,0,0,1,dx_init_lut_data()
FUNC,const,0x20169f70,48,0,0,1,PitchEnv::init(double)
FUNC,const,0x2016a290,64,0,0,1,FFTConfigManager::getConfig(long)
FUNC,const,0x2016b610,32,0,0,1,deluge::memory::fast_allocator<DxVoice>::allocate(unsigned int) [clone .part.0]
FUNC,const,0x2016ed10,108,0,0,1,"DxPatch::setEngineMode(int, bool)"
FUNC,const,0x2016ee78,304,0,0,1,"DxVoice::osc_freq(int, int, int, int, int, int)"
FUNC,reloc,0x20062f00,12,0,0,0,ModControllableAudio::disableGrain()
FUNC,reloc,0x20066d34,22,0,0,0,Source::ensureDxPatch()
FUNC,reloc,0x20067b68,106,0,0,0,"ResizeableArray::copyToNewMemory(void*, unsigned long, void*, unsigned long, unsigned long, unsigned long)"
FUNC,reloc,0x20069468,70,0,0,0,invalidate_range_all_caches
FUNC,reloc,0x20093eb8,22,0,0,0,"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)"
FUNC,reloc,0x20093ed4,28,0,0,0,deluge::dsp::reverb::Freeverb::setRoomSize(float)
FUNC,reloc,0x20093ef0,20,0,0,0,deluge::dsp::reverb::Freeverb::setDamping(float)
FUNC,reloc,0x20093f04,8,0,0,0,deluge::dsp::reverb::Freeverb::setWidth(float)
FUNC,reloc,0x20093fd4,22,0,0,0,"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char*, char*)"
FUNC,reloc,0x200a7e4c,252,0,0,0,deluge::gui::ui::keyboard::layout::KeyboardLayoutInKey::precalculate()
FUNC,reloc,0x200a8754,42,0,0,0,"VoiceSample::getPlaySample(Sample*, SamplePlaybackGuide*)"
FUNC,reloc,0x200bb6e8,116,0,0,0,Sound::setModFXType(ModFXType)
FUNC,reloc,0x200c14c0,152,0,0,0,"deluge::hid::display::oled_canvas::Canvas::drawStringCentredShrinkIfNecessary(char const*, long, long, long) [clone .constprop.0]"
FUNC,reloc,0x200d4b78,60,0,0,0,PatchCableSet::~PatchCableSet()
FUNC,reloc,0x200d4ca0,48,0,0,0,ExpressionParamSet::~ExpressionParamSet()
FUNC,reloc,0x200d4cd0,44,0,0,0,PatchedParamSet::~PatchedParamSet()
FUNC,reloc,0x200d4cfc,40,0,0,0,UnpatchedParamSet::~UnpatchedParamSet()
FUNC,reloc,0x200d519c,100,0,0,0,UnpatchedParamSet::UnpatchedParamSet(ParamCollectionSummary*) [clone .isra.0]
FUNC,reloc,0x200dc42c,44,0,0,0,UnpatchedParamSet::~UnpatchedParamSet()
FUNC,reloc,0x200dc458,44,0,0,0,PatchedParamSet::~PatchedParamSet()
FUNC,reloc,0x200dc484,56,0,0,0,ExpressionParamSet::~ExpressionParamSet()
FUNC,reloc,0x20117f38,106,0,0,0,FileWriter::writeByte(signed char)
