kind,class,ref_addr,size,instr_structural,instr_offset_only,instr_const_only,name
FUNC,struct+const,0x20122038,272,0,7,6,FavouritesManager::saveFavouriteBank() const [clone .constprop.0]
FUNC,struct+const,0x201234f4,636,0,9,4,LoadSongUI::opened()
FUNC,struct+const,0x20089a40,104,0,9,3,usb_hstd_cmd_submit.isra.0
FUNC,struct+const,0x200b8990,552,0,7,5,"GeneralMemoryAllocator::extend(void*, unsigned long, unsigned long, unsigned long*, unsigned long*, void*) [clone .constprop.0]"
FUNC,struct+const,0x200be838,600,0,2,10,"PerformanceView::renderFXDisplay(deluge::modulation::params::Kind, long, long)"
FUNC,struct+const,0x200c025c,544,0,6,6,deluge::hid::display::OLED::freezeWithError(char const*)
FUNC,struct,0x20100890,368,0,12,0,Browser::sortFileItems() [clone .isra.0]
FUNC,struct+const,0x2007e98c,674,0,9,2,"indicator_leds::actuallySetKnobIndicatorLevel(unsigned char, unsigned char, bool)"
FUNC,struct,0x2007f06c,268,0,11,0,usb_cstd_clr_pipe_cnfg
FUNC,struct,0x2011b4d0,942,0,11,0,Browser::selectEncoderAction(signed char)
FUNC,struct+const,0x20089aa8,150,0,9,1,usb_hstd_get_string_desc.constprop.0.isra.0
FUNC,struct+const,0x20089f00,240,0,8,2,usb_hstd_susp_cont
FUNC,struct+const,0x2008a204,404,0,9,1,usb_hstd_resu_cont
FUNC,struct+const,0x2008b344,388,0,9,1,usb_hhub_close
FUNC,struct+const,0x200c011c,320,0,8,2,"deluge::hid::display::OLED::popupText(char const*, bool, PopupType)"
FUNC,struct,0x2011540c,374,0,10,0,create_chain
FUNC,struct+const,0x2006e99c,152,0,8,1,Song::getMaxMIDIChannelSuffix(long) [clone .isra.0]
FUNC,struct+const,0x20071fc0,548,0,5,4,"View::getClipMuteSquareColour(Clip*, RGB, bool) [clone .constprop.0]"
FUNC,struct+const,0x2007b944,684,0,8,1,PadLEDs::horizontal::renderScroll()
FUNC,struct,0x2008a398,364,0,9,0,usb_cstd_pipe_init
FUNC,const,0x2008e7fc,2010,0,0,9,fault_handler_print_freeze_pointers
FUNC,struct+const,0x200a0ac0,184,0,7,2,StemExport::stopOutputRecording() [clone .constprop.0]
FUNC,struct+const,0x200c4b2c,274,0,8,1,FavouritesManager::resetFavourites() [clone .constprop.0]
FUNC,struct+const,0x200c63c0,1998,0,1,8,deluge::gui::menu_item::HorizontalMenu::renderOLED()
FUNC,struct+const,0x20122470,480,0,7,2,LoadSongUI::timerCallback()
FUNC,struct+const,0x2012ea08,120,0,8,1,StemExport::startOutputRecordingUntilLoopEndAndSilence() [clone .constprop.0]
FUNC,const,0x2016e740,1488,0,0,9,"EngineMkI::render(long*, int, FmOpParams*, int, long*, long)"
FUNC,struct,0x20073468,124,0,8,0,usb_hhub_check_class
FUNC,struct+const,0x2007f6d0,304,0,6,2,StemExport::disarmAllInstrumentsForStemExport(StemExportType) [clone .constprop.0]
FUNC,struct+const,0x2008a14c,184,0,7,1,usb_hhub_trans_complete
FUNC,struct+const,0x2008ae6c,122,0,5,3,usbSendCompleteAsHost.constprop.0
FUNC,struct,0x2008b574,886,0,8,0,usb_hstd_write_data
FUNC,struct+const,0x200c0790,238,0,3,5,StemExport::displayStemExportProgressOLED(StemExportType) [clone .constprop.0]
FUNC,struct+const,0x200d9e3c,696,0,6,2,InstrumentClipView::enterScaleMode(unsigned char)
FUNC,struct+const,0x200e13a0,822,0,3,5,"MIDIInstrument::noteOnPostArp(long, ArpNote*, long)"
FUNC,struct+const,0x200ed740,1102,0,7,1,"InstrumentClipView::handleScaleButtonAction(bool, bool) [clone .part.0]"
FUNC,struct,0x2010e100,138,0,8,0,routineForSD
FUNC,struct+const,0x20112500,160,0,4,4,read_status.constprop.0
FUNC,struct+const,0x2011908c,148,0,6,2,AudioRecorder::finishRecording() [clone .constprop.0]
FUNC,struct+const,0x20130ce4,380,0,5,3,AudioRecorder::process() [clone .constprop.0]
FUNC,const,0x2016f61c,228,0,0,8,DxEngine::solicitDxVoice()
FUNC,struct+const,0x20075c60,102,0,6,1,deluge::hid::display::OLED::removeWorkingAnimation()
FUNC,struct,0x20076dc8,134,0,7,0,R_USB_HmidiClassCheck
FUNC,struct+const,0x2007fc08,172,0,6,1,QwertyUI::timerCallback()
FUNC,struct+const,0x20088280,86,0,6,1,usb_hstd_usb_handler
FUNC,struct,0x2008b964,298,0,7,0,usb_hstd_ctrl_write_start
FUNC,struct,0x2008d334,622,0,7,0,PlaybackHandler::actionSwungTick() [clone .constprop.0]
FUNC,struct+const,0x2008e304,92,0,6,1,deluge::hid::display::OLED::displayWorkingAnimation(char const*)
FUNC,struct+const,0x20095c38,94,0,6,1,sendSPITransferFromQueue
FUNC,struct+const,0x2009e298,336,0,3,4,"Patcher::recalculateFinalValueForParamWithNoCables(long, Sound&, ParamManagerForTimeline&)"
FUNC,const,0x200ab628,2632,0,0,7,"ModControllableAudio::processFX(std::span<StereoSample, 4294967295u>, ModFXType, long, long, Delay::State const&, long*, ParamManager*, bool, long)"
FUNC,struct+const,0x200aea50,656,0,6,1,InstrumentClipView::exitScaleMode()
FUNC,struct+const,0x200b1608,132,0,5,2,QwertyUI::opened()
FUNC,struct+const,0x200b37e0,268,0,2,5,"AudioFileManager::removeReasonFromCluster(Cluster&, char const*, bool)"
FUNC,struct,0x2010272c,376,0,7,0,"PlaybackHandler::setupPlayback(long, long, bool, bool, long) [clone .constprop.0]"
FUNC,struct,0x20106244,228,0,7,0,PlaybackHandler::routine() [clone .constprop.0]
FUNC,struct,0x201068d8,440,0,7,0,TimelineView::horizontalEncoderAction(long)
FUNC,struct+const,0x20113280,684,0,4,3,"AudioFileManager::loadAnyEnqueuedClusters(long, bool) [clone .constprop.0]"
FUNC,struct+const,0x201199ec,400,0,6,1,AudioFileManager::cardReinserted() [clone .constprop.0]
FUNC,struct+const,0x2011e724,1042,0,1,6,InstrumentClipMinder::selectEncoderAction(long)
FUNC,struct+const,0x201205d8,1752,0,3,4,LoadInstrumentPresetUI::performLoad(bool)
FUNC,struct+const,0x20131b0c,952,0,5,2,"Kit::renderOutput(ModelStack*, std::span<StereoSample, 4294967295u>, long*, long, long, bool, bool)"
FUNC,struct+const,0x2013f354,274,0,4,3,PlaybackHandler::slowRoutine() [clone .constprop.0]
FUNC,const,0x2016297c,2420,0,0,7,"deluge::dsp::filter::LpLadderFilter::doFilter(long*, long*, long)"
FUNC,const,0x201632f0,4460,0,0,7,"deluge::dsp::filter::LpLadderFilter::doFilterStereo(long*, long*)"
FUNC,const,0x2016b6d8,220,0,0,7,"deluge::memory::ObjectPool<DxVoice, deluge::memory::fast_allocator>::~ObjectPool()"
FUNC,struct,0x20075e98,76,0,6,0,PadLEDs::setupInstrumentClipCollapseAnimation(bool)
FUNC,struct+const,0x20077000,144,0,2,4,usb_peri_configured
FUNC,struct+const,0x20079b60,360,0,5,1,"InstrumentClipView::drawMuteSquare(NoteRow*, RGB*, unsigned char*) [clone .isra.0]"
FUNC,struct+const,0x20088c74,194,0,1,5,deluge::gui::menu_item::battery::Level::timerCallback()
FUNC,struct+const,0x2008933c,166,0,1,5,deluge::gui::menu_item::battery::Level::beginSession(MenuItem*)
FUNC,struct,0x20095edc,58,0,6,0,oledTransferComplete
FUNC,struct+const,0x200b10b4,186,0,2,4,String::set(String const*)
FUNC,struct+const,0x200b16c8,64,0,4,2,deluge::hid::display::OLED::stopScrollingAnimation() [clone .part.0]
